"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2021","50,672,000","51,027,000","51,367,000","49,550,000","1.45K","-0.70%"
"Oct 06, 2021","51,027,000","49,990,000","51,500,000","48,000,000","1.73K","2.07%"
"Oct 05, 2021","49,990,000","47,889,000","50,184,000","47,889,000","1.08K","4.39%"
"Oct 04, 2021","47,889,000","48,691,000","48,882,000","46,820,000","0.88K","-1.65%"
"Oct 03, 2021","48,691,000","48,186,000","49,505,000","47,735,000","0.63K","1.05%"
"Oct 02, 2021","48,186,000","47,123,000","49,175,000","46,400,000","1.26K","2.26%"
"Oct 01, 2021","47,123,000","43,067,000","47,400,000","42,525,000","2.16K","9.42%"
"Sep 30, 2021","43,067,000","41,050,000","43,592,000","40,959,000","1.79K","4.91%"
"Sep 29, 2021","41,050,000","40,445,000","42,300,000","40,200,000","0.86K","1.50%"
"Sep 28, 2021","40,445,000","43,060,000","43,061,000","40,400,000","1.62K","-6.07%"
"Sep 27, 2021","43,060,000","43,857,000","45,220,000","42,410,000","0.84K","-1.82%"
"Sep 26, 2021","43,857,000","42,075,000","44,500,000","40,000,000","1.19K","4.21%"
"Sep 25, 2021","42,086,000","42,046,000","42,545,000","40,500,000","0.64K","0.10%"
"Sep 24, 2021","42,046,000","44,800,000","44,916,000","39,979,000","1.54K","-6.15%"
"Sep 23, 2021","44,800,000","44,092,000","45,081,000","43,487,000","0.92K","1.63%"
"Sep 22, 2021","44,081,000","40,185,000","44,204,000","39,950,000","1.19K","9.70%"
"Sep 21, 2021","40,185,000","43,212,000","44,705,000","38,888,000","3.05K","-6.73%"
"Sep 20, 2021","43,084,000","48,000,000","48,142,000","42,500,000","1.94K","-10.24%"
"Sep 19, 2021","48,000,000","49,292,000","49,610,000","47,500,000","0.43K","-2.60%"
"Sep 18, 2021","49,281,000","48,852,000","50,690,000","48,525,000","0.40K","0.88%"
"Sep 17, 2021","48,852,000","51,011,000","51,476,000","48,337,000","0.78K","-4.23%"
"Sep 16, 2021","51,011,000","51,357,000","52,305,000","49,900,000","0.99K","-0.67%"
"Sep 15, 2021","51,354,000","48,918,000","51,354,000","48,220,000","0.96K","5.04%"
"Sep 14, 2021","48,888,000","47,370,000","48,900,000","47,200,000","0.51K","3.20%"
"Sep 13, 2021","47,370,000","48,987,000","49,207,000","46,000,000","1.21K","-3.30%"
"Sep 12, 2021","48,987,000","47,284,000","49,950,000","46,881,000","0.75K","3.60%"
"Sep 11, 2021","47,284,000","46,676,000","48,326,000","46,655,000","0.53K","1.30%"
"Sep 10, 2021","46,676,000","49,401,000","50,499,000","46,001,000","1.02K","-5.52%"
"Sep 09, 2021","49,401,000","51,030,000","51,176,000","49,400,000","1.01K","-7.91%"
"Sep 02, 2021","53,643,000","54,654,000","54,751,000","53,643,000","1.72K","-2.02%"
"Sep 01, 2021","54,750,000","50,500,000","54,769,000","50,500,000","1.85K","13.97%"
"Aug 30, 2021","48,041,000","48,010,000","48,041,000","48,010,000","1.29K","0.82%"
"Aug 23, 2021","47,651,000","46,573,000","47,980,000","46,500,000","1.58K","2.31%"
"Aug 22, 2021","46,573,000","46,252,000","46,809,000","45,245,000","0.77K","0.69%"
"Aug 21, 2021","46,252,000","46,880,000","47,141,000","46,094,000","1.21K","-1.34%"
"Aug 20, 2021","46,880,000","45,625,000","46,962,000","45,625,000","1.57K","2.75%"
"Aug 19, 2021","45,625,000","44,071,000","45,733,000","43,102,000","1.21K","3.53%"
"Aug 18, 2021","44,071,000","44,288,000","45,300,000","43,500,000","1.07K","-0.49%"
"Aug 17, 2021","44,288,000","45,770,000","47,130,000","44,003,000","1.69K","-3.24%"
"Aug 16, 2021","45,770,000","47,000,000","47,200,000","45,356,000","1.36K","-2.62%"
"Aug 15, 2021","47,000,000","46,359,000","47,099,000","44,879,000","1.38K","1.38%"
"Aug 14, 2021","46,359,000","47,147,000","47,193,000","45,687,000","0.93K","-1.75%"
"Aug 13, 2021","47,187,000","44,023,000","47,188,000","44,000,000","1.88K","7.19%"
"Aug 12, 2021","44,023,000","45,778,000","46,600,000","43,100,000","1.52K","-3.83%"
"Aug 11, 2021","45,778,000","45,253,000","46,935,000","45,172,000","1.44K","1.16%"
"Aug 10, 2021","45,253,000","45,074,000","46,350,000","44,117,000","1.69K","0.40%"
"Aug 09, 2021","45,074,000","43,183,000","45,460,000","41,780,000","2.04K","4.38%"
"Aug 08, 2021","43,182,000","45,110,000","45,425,000","42,496,000","1.86K","-4.27%"
"Aug 07, 2021","45,110,000","41,275,000","45,428,000","41,100,000","2.62K","9.29%"
"Aug 06, 2021","41,275,000","40,390,000","41,959,000","39,200,000","1.55K","2.19%"
"Aug 05, 2021","40,390,000","39,051,000","40,642,000","36,504,000","2.56K","3.43%"
"Aug 04, 2021","39,051,000","36,155,000","39,499,000","35,599,000","1.73K","8.01%"
"Aug 03, 2021","36,155,000","37,754,000","38,064,000","35,500,000","1.37K","-4.24%"
"Aug 02, 2021","37,754,000","37,248,000","38,500,000","36,506,000","1.44K","1.36%"
"Aug 01, 2021","37,248,000","36,635,000","38,965,000","36,303,000","1.92K","1.67%"
"Jul 31, 2021","36,635,000","35,500,000","36,850,000","34,965,000","1.10K","3.20%"
"Jul 30, 2021","35,500,000","34,400,000","35,500,000","33,651,000","1.85K","3.23%"
"Jul 29, 2021","34,388,000","33,249,000","34,588,000","32,870,000","0.99K","3.43%"
"Jul 28, 2021","33,249,000","33,200,000","33,844,000","32,500,000","1.12K","0.15%"
"Jul 27, 2021","33,200,000","32,493,000","33,500,000","31,092,000","1.55K","1.79%"
"Jul 26, 2021","32,617,000","31,589,000","34,800,000","31,412,000","2.26K","3.25%"
"Jul 25, 2021","31,589,000","31,417,000","31,689,000","30,451,000","1.08K","1.59%"
"Jul 24, 2021","31,095,000","30,748,000","31,200,000","30,471,000","1.00K","1.13%"
"Jul 23, 2021","30,748,000","29,250,000","30,775,000","29,032,000","1.05K","5.12%"
"Jul 22, 2021","29,250,000","28,903,000","29,556,000","28,291,000","1.06K","1.20%"
"Jul 21, 2021","28,903,000","25,956,000","29,285,000","25,850,000","1.47K","11.35%"
"Jul 20, 2021","25,956,000","26,639,000","26,979,000","25,327,000","1.21K","-2.56%"
"Jul 19, 2021","26,639,000","27,625,000","27,857,000","26,461,000","0.97K","-3.57%"
"Jul 18, 2021","27,625,000","27,537,000","28,881,000","27,403,000","0.81K","0.32%"
"Jul 17, 2021","27,537,000","27,299,000","27,800,000","27,000,000","0.64K","0.87%"
"Jul 16, 2021","27,299,000","27,879,000","28,500,000","27,008,000","0.76K","-2.08%"
"Jul 15, 2021","27,879,000","28,928,000","29,581,000","27,530,000","0.98K","-3.63%"
"Jul 14, 2021","28,928,000","28,351,000","29,328,000","27,281,000","1.24K","2.04%"
"Jul 13, 2021","28,351,000","29,701,000","29,794,000","28,008,000","1.01K","-4.55%"
"Jul 12, 2021","29,701,000","31,048,000","31,350,000","29,289,000","0.88K","-4.34%"
"Jul 11, 2021","31,048,000","30,826,000","31,400,000","30,354,000","0.64K","0.72%"
"Jul 10, 2021","30,826,000","31,389,000","31,833,000","30,320,000","0.77K","-1.79%"
"Jul 09, 2021","31,389,000","31,182,000","31,957,000","30,152,000","1.16K","0.66%"
"Jul 08, 2021","31,182,000","33,601,000","33,724,000","30,760,000","1.38K","-7.20%"
"Jul 07, 2021","33,601,000","33,734,000","34,500,000","33,535,000","0.93K","0.44%"
"Jul 06, 2021","33,455,000","32,574,000","33,869,000","32,574,000","1.13K","2.70%"
"Jul 05, 2021","32,574,000","33,492,000","33,492,000","32,574,000","1.22K","-2.74%"
"Jul 04, 2021","33,492,000","33,421,000","33,492,000","33,421,000","1.08K","4.75%"
"Jul 03, 2021","31,974,000","31,079,000","31,974,000","31,079,000","0.86K","2.88%"
"Jul 02, 2021","31,079,000","30,718,000","31,079,000","30,718,000","0.94K","1.18%"
"Jul 01, 2021","30,718,000","32,950,000","32,950,000","30,718,000","1.10K","-6.77%"
"Jun 30, 2021","32,950,000","31,203,000","32,950,000","31,203,000","1.48K","5.60%"
"Jun 29, 2021","31,203,000","30,101,000","31,203,000","30,101,000","1.38K","3.66%"
"Jun 28, 2021","30,101,000","28,555,000","30,101,000","28,555,000","1.57K","5.41%"
"Jun 27, 2021","28,555,000","26,604,000","28,555,000","26,595,000","1.05K","7.33%"
"Jun 26, 2021","26,604,000","26,420,000","26,604,000","26,320,000","1.03K","0.70%"
"Jun 25, 2021","26,420,000","28,454,000","28,454,000","26,420,000","1.21K","-7.15%"
"Jun 24, 2021","28,454,000","28,450,000","28,454,000","28,450,000","0.86K","0.01%"
"Jun 23, 2021","28,450,000","27,409,000","28,450,000","27,409,000","1.25K","3.80%"
"Jun 22, 2021","27,409,000","27,731,000","27,731,000","27,409,000","2.43K","-1.16%"
"Jun 21, 2021","27,731,000","32,665,000","32,665,000","27,731,000","2.77K","-15.10%"
"Jun 20, 2021","32,665,000","31,717,000","32,665,000","31,717,000","1.23K","2.99%"
"Jun 19, 2021","31,717,000","32,599,000","32,599,000","31,717,000","0.72K","-2.71%"
"Jun 18, 2021","32,599,000","34,500,000","34,500,000","32,599,000","1.16K","-5.51%"
"Jun 17, 2021","34,500,000","34,298,000","35,266,000","34,298,000","0.81K","0.59%"
"Jun 16, 2021","34,298,000","36,420,000","36,420,000","34,298,000","0.92K","-5.83%"
"Jun 15, 2021","36,420,000","36,407,000","36,888,000","36,393,000","0.85K","0.04%"
"Jun 14, 2021","36,407,000","35,986,000","36,407,000","35,986,000","1.05K","1.17%"
"Jun 13, 2021","35,986,000","34,425,000","35,986,000","34,425,000","0.77K","4.53%"
"Jun 12, 2021","34,425,000","34,000,000","34,845,000","34,000,000","0.71K","1.25%"
"Jun 11, 2021","34,000,000","35,640,000","35,640,000","34,000,000","0.82K","-4.60%"
"Jun 10, 2021","35,640,000","37,606,000","37,606,000","35,640,000","0.94K","-5.23%"
"Jun 09, 2021","37,606,000","36,620,000","37,606,000","36,620,000","1.70K","2.69%"
"Jun 08, 2021","36,620,000","38,175,000","38,175,000","36,620,000","2.70K","-4.07%"
"Jun 07, 2021","38,175,000","39,594,000","39,594,000","38,175,000","2.18K","-3.58%"
"Jun 06, 2021","39,594,000","38,490,000","39,594,000","38,490,000","0.80K","2.87%"
