Date,Price,Open,High,Low,Vol.,Change %
10-07-21,50755000,51027000,51367000,49550000,1460,-0.01
10-06-21,51027000,49990000,51500000,48000000,1730,0.02
10-05-21,49990000,47889000,50184000,47889000,1080,0.04
10-04-21,47889000,48691000,48882000,46820000,880,-0.02
10-03-21,48691000,48186000,49505000,47735000,630,0.01
10-02-21,48186000,47123000,49175000,46400000,1260,0.02
10-01-21,47123000,43067000,47400000,42525000,2160,0.09
9-30-2021,43067000,41050000,43592000,40959000,1790,0.05
9-29-2021,41050000,40445000,42300000,40200000,860,0.02
9-28-2021,40445000,43060000,43061000,40400000,1620,-0.06
9-27-2021,43060000,43857000,45220000,42410000,840,-0.02
9-26-2021,43857000,42075000,44500000,40000000,1190,0.04
9-25-2021,42086000,42046000,42545000,40500000,640,0.00
9-24-2021,42046000,44800000,44916000,39979000,1540,-0.06
9-23-2021,44800000,44092000,45081000,43487000,920,0.02
9-22-2021,44081000,40185000,44204000,39950000,1190,0.10
9-21-2021,40185000,43212000,44705000,38888000,3050,-0.07
9-20-2021,43084000,48000000,48142000,42500000,1940,-0.10
9-19-2021,48000000,49292000,49610000,47500000,430,-0.03
9-18-2021,49281000,48852000,50690000,48525000,400,0.01
9-17-2021,48852000,51011000,51476000,48337000,780,-0.04
9-16-2021,51011000,51357000,52305000,49900000,990,-0.01
9-15-2021,51354000,48918000,51354000,48220000,960,0.05
9-14-2021,48888000,47370000,48900000,47200000,510,0.03
9-13-2021,47370000,48987000,49207000,46000000,1210,-0.03
09-12-21,48987000,47284000,49950000,46881000,750,0.04
09-11-21,47284000,46676000,48326000,46655000,530,0.01
09-10-21,46676000,49401000,50499000,46001000,1020,-0.06
09-09-21,49401000,51030000,51176000,49400000,1010,-0.08
